"ID","NAME","VIEWS","CLICKS","REVENUE"
"23773","Moresby jacarandi","90871","14405","2998.74"
"5363","MLC cheesemongerly","157212","15483","3930.3"
"760","buchite conodont","155287","8534","2174.02"
"27600","pyelonephritis besotment","87232","7483","261.7"
"19153","scry Basingstoke","182469","9107","5109.13"
"29891","tetracolon stoveman","154227","16777","7557.12"
"25286","hydroparacoumaric itamalic","17897","484","161.07"
"25284","symmist monospore","141431","14689","282.86"
"14546","Oratory prothetely","142237","11391","5547.24"
"22214","crutches unbrotherliness","15146","1784","196.9"
"29112","snottiest cast-iron","163041","10472","7173.8"
"20674","diastemata antihygienic","48342","4224","725.13"
"12235","tide-forsaken Bangiales","176148","14762","8455.1"
"18364","secretariats quasi-fraternal","160023","10329","7521.08"
"36771","militate slushy","103176","11265","3404.81"
"6855","expromission cosmotheistic","160988","14689","965.93"
"12222","Shawnee coccydynia","6353","3132","101.65"
"14518","archimandrites Ramazan","140457","16254","5056.45"
"39061","Hekla dehydrofrozen","210921","12123","5062.1"
"20647","Klusek nonadmiring","47746","7815","1671.11"
"29850","seignorial signing","42701","4642","1579.94"
"41354","Lampang trussmaker","114422","9828","572.11"
"12973","taphouses flaxiest","54176","3205","108.35"
"39051","Sunray byplays","85605","8378","1712.1"
"32146","smoking-room hardtack","4645","3497","74.32"
"37514","canthoplasty nonvalid","71957","7500","935.44"
"19871","top-hatted segment","37854","3358","113.56"
"33673","crannoges Croatian","64072","9925","1922.16"
"8360","tended henbanes","133826","14249","6289.82"
"681","hemihedrism philophilosophos","107401","10106","2685.02"
"16788","musicproof a-horizon","50405","5418","1663.36"
"26758","MTS zein","77853","3112","1634.91"
"1445","Benjamen post-classical","75849","8894","3640.75"
"17551","renotation mercerizer","117154","6165","4100.39"
"27518","zest crime","148208","10335","4001.62"
"20609","paulopast retastes","1000","4362","8"
"29046","karyomicrosome mauling","44487","1112","889.74"
"39016","antifelony pot-pourri","24073","8446","1107.36"
"12934","stenophagous euclidean","145428","14087","290.86"
"39012","amanitins soul-shaking","175920","15015","5277.6"
"41313","capillary dead-colored","45344","1664","2221.86"
"28269","Hinda vexers","210719","14331","1685.75"
"652","polyandrian self-exciter","30338","3006","273.04"
"16756","cystiform Mayfield","157178","15348","628.71"
"18287","extra-artistic Harrington","33542","735","771.47"
"10615","Huneker nondeliveries","157076","22154","7382.57"
"10610","lca westings","83791","2223","2010.98"
"20581","plains caseweed","69828","5353","2723.29"
"41289","Gordian azoblack","39574","5089","910.2"
"9073","shindys Elkmont","30708","3801","429.91"
"9072","bromidically manducatory","59135","8009","177.4"
"48187","xylidines transverseness","130499","11101","4828.46"
"23642","youwards desirer","110188","17134","4848.27"
"29007","leapers peculiarity","191988","20627","8447.47"
"40512","linearised acroteral","76031","3962","3649.49"
"25938","nonprescient Ionidium","180235","14432","2343.05"
"25161","holoptychian Laure","188886","11284","3966.61"
"17490","pharisean Erath","36771","3085","588.34"
"45102","nonyl mutilative","216418","13070","7574.63"
"46633","prerelate nouvelle","117024","5491","3744.77"
"9048","eeriness spinocarpous","231368","12716","3933.26"
"46631","linear-awled lockfast","192677","19804","7707.08"
"19782","apposability shooed","100456","11468","1506.84"
"28218","misadvisedly mis-sworn","100318","7143","2006.36"
"15176","Americanising podometer","69426","3892","2846.47"
"45853","disassembling henheartedness","25522","2253","76.57"
"44319","subintervals Launceiot","56911","4755","1991.89"
"35106","inflammabilities nonlucrative","81325","3983","325.3"
"24360","Martell technographic","120857","11577","5196.85"
"20525","unputative Canebrake","109600","11633","876.8"
"43531","refertilizable Agropyron","140470","12939","6883.03"
"48131","traumatology Couchman","22643","3588","67.93"
"28188","tollers Gala","140117","11368","5184.33"
"31256","defeated toxophorous","242468","15929","10183.66"
"40454","proscutellar chloroprene","137519","7018","3162.94"
"21276","Wolof sha'ban","174704","7910","4542.3"
"11301","philocubist OSDIT","109715","9148","2742.88"
"31239","antidyscratic free-board","209606","14639","3563.3"
